seller business name,business_country,email,phone_number
Business Name:Regina Wiese,Germany,info@karneval-fasching-shop.de,02938-979484 (10.00
Business Name:katerrot 27,Germany,katerrot27@aol.com,01742483335
,Other,,
VAT Number:DE169749227,Other,kathrin@salzlampe.de,169749227
Business Name:kaufen-schenken-spielen,Germany,spiel-hobby-lange@t-online.de,"67
 26388"
Business Name:sarl jack bout,Other,,
Business Name:JF BUTTERS LIMITED,Other,,
Business Name:Funkelektronik Keim,Germany,keimfunk@yahoo.de,132312266
Business Name:Kemmler Baustoffe GmbH,Germany,,
Business Name:Kemper Solar GmbH,Germany,pv@solar-kemper.de,025848148
"Business Name:kenai-deko, Eheleute Rackow GbR",Germany,info@kenai-deko.de,"20
 63225"
Business Name:kerima-tools GmbH,Germany,kerima.tools@gmx.de,05115455911
Business Name:Kerri-Keramik  Ute Richter,Germany,kerri-keramik@web.de,0049 - (0)30 - 54 70 15 05
,Other,,
Business Name:Kessler electronic GmbH,Germany,info@kessler-electronic.de,49 (0)2273
"Business Name:Klaus Kirchgatterer, Engelbert Bachfischer GbR",Germany,info@kettenbertl.de,"9- 10
93170"
Business Name:Kevelaerer Korbhaus Gesthüsen,Germany,gesthuesen@t-online.de,0172 9295661
Business Name:kfzteile24 GmbH,Germany,,"28-30
 12435"
Business Name:KG Technik GmbH,Germany,info@gsz24.de,"32
 47445"
Business Name:V'ronis Kinderland,Germany,info@vronis-kinderland.de,310343295
"Business Name:Kinderwelt Hitzler, Inh. Hans Hitzler eK",Germany,info@kiddy-hits.de,178084309
Business Name:Doganay und Tanriverdi Onlinehandel Gbr,Germany,,
Business Name:Stahlfachhandel-Kiefer,Germany,,
Business Name:Mobau Bauzentrum GmbH,Germany,amazon@kiesundco.de,"2-4
 56645"
VAT Number:DE325278981,Other,verkauf@kiezbude24.de,+49 (0) 160 - 98681497
Business Name:Kiids Vertriebs GmbH,Germany,info@Kiids.de,+49 721 94 05 90
Business Name:Kikau srl,Other,,
Business Name:Kimiza-Duftshop,Germany,info@kimiza-duftshop.de,"33
 44809"
Business Name:Argofield Limited,Other,,
Business Name:Kinkerlitzchen GmbH,Germany,info@Kinkerlitzchen.de,+49 (0) 5 91
Business Name:Kippert & Willemsen GbR,Germany,schutz@wettertuete.de,02563 9693429
Business Name:Kirchner GmbH,Germany,info@kirchner24.de,"17
 97447"
Business Name:Kirr GmbH,Germany,Info@kirr.gmbh,"11
   
  
   91126"
Business Name:KitchenTime AB,Other,,
Business Name:KIWORA TECHNOLOGY S L,Other,,
Business Name:Kjells Warenhandels GmbH,Germany,amazon@kjells.de,"63
 10247"
Business Name:Klaudia Plodeck,Germany,,
Business Name:K&K Dichtungstechnik- und Sanitärhandel GmbH,Germany,info@kk-dichtungstechnik.de,05141 5934480
Business Name:Klara Seating GmbH,Germany,info@klaraseats.com,"26
   70173"
Business Name:Klaus Haberl GmbH,Other,office@haberl.at,
Business Name:Kleinschmidt GmbH,Germany,info@kleinschmidtgmbh.com,+49 5193 98050
Business Name:Der Klempner Sanitär und Heizung Großhandel,Germany,Info@derklempnerpeter.de,
Business Name:Kletterspezialisten GmbH & Co. KG,Germany,kontakt@kletterspezialisten.deGeltungsbereichF,+49 (0)6061-13288
Business Name:Klaus Lutz,Germany,klaus.lutz@kederband.net,0176 - 81426294
Business Name:DS Stahlprofi GmbH,Germany,klodealer@aol.de,"156
 06842"
Business Name:Klura,Germany,kundenservice@klura.de,017661644676
Business Name:Trendagentur KEPPLINGER,Other,,
Business Name:KM Zündholz International Karl Müller GmbH,Germany,,
Business Name:KnappWulf GmbH,Germany,,
Business Name:Friedel und Wernecke UG,Germany,mail@knobelbox.com,04084605742
Business Name:Kobalz GmbH,Germany,info@kobalz.de,035725-79826
Business Name:Koch Mannes Maschinen-Handels GmbH,Germany,shop@koch-mannes.de,+49 (0) 9721 38895-15
Business Name:Kochen und Design Stillger e.Kfr.,Germany,info@stillger.eu,"44
 65183"
"Business Name:Horn, Eckard",Germany,kontakt@kochmesser-shop.com,0511 - 97 81 96 50
Business Name:SL-Handels GmbH,Germany,info@sl-handelsgmbh.de,02454 - 9028162
Business Name:Koelbl Fischfuttertreff,Germany,info@fischfuttertreff.de,09907  8729648
Business Name:Koi und Goldfischcenter Schneidewind,Germany,Shop@koi-schneidewind.de,+49 (0) 39484 2307
Business Name:Koi-und Bonsaipark Herdecke GmbH,Germany,leonhardt@koi-herdecke.de,"16
 58135"
Business Name:Koiwelt-Berlin Günter Repp & Steven Quäschning GbR,Germany,info@koiwelt-berlin.de,030-5667560
Business Name:Koizentrale UG & Co KG,Germany,info@koizentrale.de,"25
 32289"
Business Name:Kölle-Zoo Holding GmbH,Germany,,
Business Name:Pawel Knajp,Germany,webshop.knajp@aol.de,263086823
Business Name:Konege GmbH & Co. KG,Germany,info@konege.de,309698908
Business Name:Konfitee Naturkost GmbH,Germany,redaktion@konfitee.de,05071 96682-34
Business Name:Peter Kaientz,Germany,info@kontur-pur.de,06051-8886633
Business Name:KOOK TIME PRODUCTS S.L.,Other,,
Business Name:Baby Kooky Ltd,Other,,
Business Name:aquapro2000 GmbH,Germany,aquaPro2000@hotmail.de,258529603
Business Name:KOS24 GmbH,Germany,kos24@t-online.de,+49 (0)1719352050
Business Name:Kotte & Zeller GmbH,Germany,info@kotte-zeller.de,5 97 97 98
Business Name:KR Agrar GmbH & Co. KG,Germany,info@kr-agrar.de,330268587
Business Name:Christel Krakow & Sohn GmbH Tischlereibedarf,Germany,,03307 302790
Business Name:KraSaTec GmbH,Germany,service@krasatools.com,03663 4247873
Business Name:Einheuser-Petzke Dustow GbR,Germany,epd-group@gmx.de,"18-20
 41812"
Business Name:DUO KREIS LLC,USA,,
Business Name:Krinke Kochen und Schenken,Germany,schachkri@aol.com,06245 9955738
"Business Name:KTW(HONG KONG)Electronic Commerce Co., Limited",Germany,,
Business Name:KRISSY ART LIMITED,Other,,
Business Name:kromac Lamanna Francesco srl,Other,,
Business Name:Kronenburg Handel GmbH,Germany,info@kronenburg-handel.de,+49 5424 809 44 0
Business Name:KS Graphik,Germany,7608www.ks-graphik.deinfo@ks-graphik.deUSt,176200506
Business Name:KS Licht- u. Elektrotechnik GmbH,Germany,Service@KS-Germany.com,+49-201-89924-0
Business Name:Ina Sehm,Germany,info@ksells.deUmsatzsteuer,0371 272 86 36
VAT Number:DE310470492,Other,ksj.shop@web.de,"57
 17392"
Business Name:KTC Tec GmbH,Germany,info@ktc-tec.de,240 32120
Business Name:KTL GmbH,Germany,service@ktl-gmbh.de,05173.2409944
Business Name:Kubustotaal vof,Other,,
Business Name:Brigitte Fink,Germany,buchfink.brigitte.fink@googlemail.comUmsatzsteuer,04443-91217
Business Name:WEBAR Mariusz Kobeszko,Other,,
Business Name:AST Media&Event GmbH&Co.KG,Germany,info@ast-mediaevent.de,08638982790
,Other,,
Business Name:Find Import Corporation,USA,,
Business Name:Kurt24,Germany,,
Business Name:Nähstüb`l Heike Bromnitz,Germany,service@kurzwaren-profi.de,03741-221316
Business Name:Großhandel Karin Janke,Germany,kvm-janke@web.de,141 769 817
Business Name:Kusnezov_de,Germany,info@kusnezov.de,01578264143
VAT Number:DE294778357,Other,verkauf@luxzina.com,"18
 03222"
Business Name:kütec.de Küchentechnik online GmbH,Germany,amazon@kuetec.de,"19
  07549"
Business Name:NRJSOLAR,Other,,
Business Name:Daria Kluger,Germany,verkauf@lacabanita.de,05407-8032700
Business Name:LACKNER & URNITSCH Ges.m.b.H.,Other,amazon@urnitsch.at,0043-(0)316-711480-0
Business Name:M.Theilmann & S. La Corte GbR,Germany,info.lacomi@tlctrading.de,"1
  75249"
Business Name:ladeco Ladenausstattung und Zubehör GmbH,Germany,,"139
 14482"
Business Name:AUTOBROKER GROUP,Germany,,
Business Name:Senad Karic,Germany,amazon@handelspark.de,062117822450
Business Name:Lahsa T & L GmbH,Germany,,
Business Name:NY AESTHETICS LTD,Other,,
Business Name:ELECTRICIDAD E ILUMINACION MADRID,Other,,
Business Name:Licht-Studio Völker e.K.,Germany,,
Business Name:SAKU-System Vertriebs GmbH,Germany,amazon@saku-system.de,071211397031
Business Name:Land Warrior Airsoft Ltd.,Other,,
,Other,,
Business Name:Landkaufhaus Mayer GmbH,Germany,info@landkaufhausmayer.de,167 419 049
"Business Name:PP SMILE CO., LTD.",Other,,
Business Name:Axel Straube,Germany,last.minute.warenhandel@googlemail.com,01789819900
Business Name:LatestBuy,Germany,,
Business Name:WebShop.TV,Germany,,
Business Name:Lavv Housewares Ltd,Other,,
VAT Number:DE322640900,Other,info@natinos.de,015114949348
Business Name:COLLIGNON Alexis,Other,,510 325 103 000 16
"Business Name:Michael Milz, Inhaber Irene Koser",Germany,Info@LederMilz.deRegistergericht,
Business Name:Leiterkontor UVM GmbH,Germany,,
,Other,,
Business Name:Lemodo GmbH,Germany,info@lemodo.de,+49 (0) 9822
Business Name:Leonetti Giocattoli di Maurizio Leonetti,Other,,
"Business Name:Bernd Uwe Fleckenstein,Sandra Brigitte Fleckenstein GBR",Germany,info@indianerschmuck.biz,06106-6394996
Business Name:Leotie GmbH,Germany,info@leotie.de,06003-9355800
Business Name:Les animaux du net,Other,,
Business Name:Etablissements Marquis,Other,,
Business Name:le terrecotte di Cassiano Fabio,Other,,
Business Name:LeuchtenZentrale GmbH,Germany,info@leuchtenzentrale.de,0521) 520 55-0
Business Name:click-licht.de GmbH & Co. KG,Germany,,
Business Name:Alexander Stripling,Germany,shop@lexberg.de,"44
 35279"
Business Name:Restpostenvermakrtung EU GmbH & Co. KG,Germany,distribute@leucht-fachhandel.de,0177 33 709 77
Business Name:MOTOR WORLD DI MARCHESE GIOVANNA,Other,,
Business Name:Khalifa Mili & Eimen Mili GbR,Germany,lichtquelle-321@web.de,"38
 45355"
Business Name:Licht & Wasserwelt GmbH,Germany,,05664 478
,Other,,
Business Name:Life's A Breeze GB Ltd,USA,,
Business Name:Dhondt Interieur NV,Other,,
Business Name:Lifestyle Handelshaus GmbH,Germany,,
Business Name:LIFREE,Other,,
Business Name:Lights4fun Ltd,Other,sales@lights4fun.de,040 79769093
Business Name:VARIA System GmbH,Germany,shop@varia-store.com,"191
 09119"
Business Name:Milovan Stojkovic,Germany,info@limuno.com,"16
 48431"
Business Name:Linen Ideas Ltd,Other,,
Business Name:linofant GmbH,Germany,shop@linofant.de,06659-98651-0
Business Name:LINOOWS MERCANTILE Inh. Mathias Seidel,Germany,versand@auktionshaus-rheinsberg.deUst,138695673
Business Name:Liquipipe GmbH,Germany,,
Business Name:Möbel Schott GmbH,Germany,,
Business Name:mk Objektmöbel GmbH,Germany,service@livindo.de,05238 - 208 99 90
Business Name:casantis GmbH,Germany,service@living-zone.de,+49 (0)30 53604300
Business Name:Bargain Online Ltd,Other,,
"Business Name:ZSL (Hong Kong) Electronic Commerce Co., Limited",Other,,
,Other,,
Business Name:Carl Lönne & Sohn GmbH,Germany,,
Business Name:Johann Haslberger,Germany,,
Business Name:AngelSoftware,Other,,
Business Name:Lorde Mall s.r.o.,Other,,
Business Name:LORDS SRLS,Other,,
Business Name:Zdzislaw Lorek,Germany,,
Business Name:Lothar John GmbH & Co. KG,Germany,info@lotharjohn.de,"10
 30880"
Business Name:loulomax,Other,,
Business Name:Lubalo UG (haftungsbeschränkt),Germany,info@lubalo-ug.de,"21

96247"
Business Name:Luca Lifestyle B.V.,Other,info@planzkuebelonline.de,03222 1091111
Business Name:Luck and Luck,Other,,
Business Name:Plambeck & luftballonwelt,Germany,info@luftballonwelt.de,"36
 21436"
,Other,,
Business Name:Fairpreis-Design GmbH,Germany,,
Business Name:Lumaland Vertriebs GmbH,Germany,kundenservice@lumaland.com,289238009
Business Name:Nelcilene Maia Costa,Germany,,07852-9354105
Business Name:Lionprint Inc,USA,,
,Other,,
Business Name:Sibylle Stadler,Germany,info@lustiges-shirt.de,+49 (0)8544
Business Name:LUV Trading UG (haftungsbeschränkt),Germany,info@luv-trading.de,"15
 42111"
Business Name:Luxflair GmbH & Co. KG,Germany,info@luxflair.de,+49-9955-23167-44
,Other,,
Business Name:WAN LI XIN TRADING LIMITED,Other,,
Business Name:eStores International UG (haftungsbeschränkt),Germany,,202-108-10324
Business Name:Andrej Göhring,Germany,info@lyango.de,017670757847
Business Name:Lyra Pet GmbH,Germany,info@lyra-pet.de,264943343
Business Name:Yuriy Lynnyk,Germany,,
,Other,,
Business Name:Bestnbest Limited,Other,,
Business Name:Pauli-Parts,Germany,,"9
    
    
     84558"
Business Name:PEARL. GmbH,Germany,,142476770
Business Name:Hans-Peter Hoffmann,Germany,peter.hoffmann.erfurt@t-online.de,01729734925
"Business Name:PETRAS-Topshop, Petra Werling",Germany,info@petras-topshop.deUSt,07271 9812735
,Other,,
Business Name:Otto Röhrs GmbH,Germany,support@roehrs-baumarkt.de,"11
 27383"
Business Name:Samenhaus Müller GmbH,Germany,info@samenhaus.de,07236 2478-490
Business Name:C. Y. MARKETING INC.,USA,,
Business Name:AR E-Commerce Trading UG (haftungsbeschränkt),Germany,info@shop-ar.de,"37
 25365"
Business Name:Sofapreise.de GmbH,Germany,thomas@sitzkultur-bocholt.de,"44
 
 46395"
Business Name:Sport Diffusion,Other,,
Business Name:T&T company Srl,Other,,
Business Name:The All American Sports Store GmbH,Germany,,
Business Name:Tabaccheria Marini di Marini Stefano,Other,,
Business Name:TABACCHERIA TOTO13,Other,,
Business Name:ODiN GmbH,Germany,support@tabakring.deGesch,0511 936 111-77
Business Name:Berger Gross und Einzelhandels UG (haftungsbeschränkt),Germany,sales@tacopsgear.de,"20
 17489"
Business Name:Tomasz Malewski,Other,,
Business Name:P&M Trading & Sons Ltd,Other,,0)116 2765123
,Other,,
Business Name:Tamarack Outdoors,USA,,
,Other,,
Business Name:Täsler - Industrieverpackungen,Germany,amazon@wagirat.de,+49) 0 2594 949797
Business Name:tatia-shop Tatiana Fatula,Germany,,
Business Name:Geschenke Direkt GmbH,Germany,,"26 
 04416"
Business Name:Tom Brinkmann-Clasberg,Germany,TBcompany.de@gmail.com,306426605
Business Name:TD Vermarktungs GmbH & Co. KG,Germany,info@tdshop24.de,"11

56218"
Business Name:TECH-FUN LTD,Other,,
Business Name:Tradeinn Retail Services,Other,,
Business Name:Technikplaza GmbH,Germany,info@technikplaza.de,"28

52222"
Business Name:Technikus Büroelektronik GmbH,Germany,amazon@technikus.de,+49 (9378) 995 21
,Other,,
Business Name:Maik Anwand,Germany,technoplast@t-online.de,055279970868
Business Name:TECKnic GmbH,Germany,,
Business Name:ZHE Online GmbH,Germany,info@zhe-online.de,669 7 181
Business Name:TecTake GmbH,Germany,,
,Other,,
Business Name:Roswitha Czerwonka,Germany,info@rosis-garten.de,"9

  67742"
Business Name:Stefan Amarell und Tobias Fleischhauer GbR,Germany,info@teichbedarf24.de,733 45 - 90
Business Name:Triscele Srl,Other,,
Business Name:Diva Teppich Center,Germany,service@teppichcenter24.de,268820545
Business Name:Tornado Trading GmbH,Germany,info@teppichmax.de,815577803
Business Name:Rudolf Hossdorf Teppichhandel,Germany,amazon@teppichversand24.de,"2 - 6

 


 51063"
Business Name:Terma GmbH,Germany,info@terma.de,"1

  91443"
Business Name:Terra-Discount,Germany,,"24

31089"
Business Name:Agrar Market GmbH,Germany,info@terradomi.de,204270123
,Other,,
Business Name:Nicole Schlüßler,Germany,,219516355
Business Name:Orkan Haksal,Germany,info@texmaxx.de,0621 490 755 00
"Geschäftsname:Textilpoint24, Michael Liebal",Germany,info@textilpoint24.de,"12 
30419"
Business Name:TEXTIMO (textil + more),Germany,info@textimo.de,0251 - 490 269 1
Business Name:Thomas Erfurth,Germany,eitner@te-importe.de,09723 9371 60
Business Name:JAMOBE LTD,Other,,
"Business Name:The Homeshop, Karina Wagner",Germany,,6                                                                                                                                           59872
Business Name:GALLAZZINI Arts de la Table,Other,,
Business Name:The Green Brand Factory,Other,,
Business Name:The Little Green Bag,Other,,
Business Name:Masonic Collection Limited,Other,,
Business Name:North Witch Trading Company Limited,USA,,
,Other,,
Business Name:The Quilted Bear Ltd,Other,info@quiltedbear.co.uk,0044 1275 3415300044 1275 349506
,Other,,
Business Name:LEON GLOBAL LIMITED,Other,,
Business Name:The Museum Outlet,Other,,
Business Name:Juan Rafael Martinez Espinosa,Germany,,
Business Name:THG Technische Handelsgesellschaft,Germany,,117406092
Business Name:Thils,Other,,
Business Name:DGH DREAMS LTD,Other,,
,Other,,
Business Name:Threejays Trading Limited,Other,,
Business Name:Thüros GmbH,Germany,amazon@thueros.de,"55
 99887"
,Other,,
,Other,,
Business Name:TIBU-Holztreppenbau,Germany,info@tibu-holztreppen.de,035453677172
Business Name:WDT Vision Trading GmbH & Co. KG,Germany,kontakt@tierarzt24.de,+49 (0)5131- 50683 0
Business Name:Meyer digital UG (haftungsbeschränkt),Germany,,
Business Name:Andreas Jeglorz,Germany,info@tigana.de,023719727543
Business Name:AAP Wholesale Ltd,Other,,
Business Name:The Tiger Moon Trading Company Limited,Other,,
Business Name:Tiko-Metalldesign,Germany,tiko-design@web.deTel,0151-41431395
,Other,,
Business Name:timbertools Gabriela Weiss,Germany,info@timbertools.de,"54
 90571"
Business Name:Time for Home,Germany,verkauf@timefor-home.de,"12
 61273"
Business Name:TipTopCarbon GmbH,Germany,der-folien-shop@web.de,"48
 58135"
Business Name:Iris Petzold,Germany,,
Business Name:Tischideen und Ambiente/Birgit Fluck,Germany,shop@tischideen-und-ambiente.de,"29
 78187"
Business Name:TITAPS GmbH,Germany,info@titaps.com,"15
 67269"
,Other,,
Business Name:Tito direkt Vertriebsgesellschaft mbH & Co. KG,Germany,amazon@tito-buerobedarf.de,
Business Name:TK Gruppe GmbH,Germany,info@tk-gruppe.com,"129
 69207"
Business Name:Tim Jochen Forster,Germany,amazon@tmf-racing.com,1-3 56357
Business Name:Tomasz Jerzy Bryn,Germany,,
,Other,,
Business Name:TO B TO C SRL,Other,,
Business Name:DCL SPEDITION LTD,Other,,
,Other,,
Business Name:TODOCAMPO DEL SUR SLU,Other,,
Business Name:Tomei Luca,Germany,,
Business Name:Jeanette Reiners,Germany,sales@tomodachi-koifood.com,02436 339091
,Other,,
Geschäftsname:Carl-Arnold Brill GmbH,Germany,online@tooler.de,117036212
Business Name:ToolNerds UG haftungsbeschränkt,Germany,info@toolnerds.de,"320
 47179"
Business Name:Tools.de TP Profishop GmbH,Germany,info@tools.de,99 59 356
Business Name:TOOLSPROSTORE GLOBAL SOLUTIONS LDA,Other,,
Business Name:POKM Toolsmarket GmbH,Germany,admin@toolsmarket-neu.de,35  16259
Business Name:United Tooltraders Limited,Germany,,
Business Name:Werkzeug Schultze GmbH,Germany,amazon@werkzeug-schultze.de,"16
 39218"
Business Name:Handel Norbert Oswald e.K.,Germany,shop@norbert-oswald.de,09547 8737959
Business Name:Engineerinh & Consulting Int.Ltd & Co KG,Germany,kontakt@koicenter24.com,"22
 23858"
,Other,,
Business Name:Top Multishop GmbH,Germany,info@top-multishop.de,"13
 71332"
Business Name:Harman Digital Ltd,Other,,
Business Name:Christina Rademacher,Germany,toppreisartikel@web.de,04941-991274
Business Name:MERCANTUM DEUTSCHLAND GMBH,Germany,info@mercantum-gmbh.de,07257 6479110
Business Name:Tortendeko-Shop Karen Gevorgyan,Germany,info@tortendeko-shop.de,
Business Name:Totally Toy Clearance Limited,Other,,
Business Name:YARRAGOLLA CHANDRA SEKHAR,Other,,
Business Name:Stephan Sopper,Germany,amazon@toydealer.de,"29
 73035"
Business Name:TOYMATIC,Germany,mario.klunker@gmx.de,0176-97563029
Business Name:toys4all,Germany,service@toys4all.de,"181
 96465"
Business Name:Toy Street ltd,Germany,,
Business Name:TP Matten-Shop GmbH,Germany,info@matten-shop.de,"25
 70372"
,Other,,
Business Name:DBGUK LIMITED,Other,,
Business Name:eFulfillment GmbH,Germany,amzseller@tradego24.com,"15
 30179"
Business Name:Arkadiusz Kopec,Germany,info@tradehub.de,"11
 15230"
Business Name:TRADEINN RETAIL SERVICES SL,Other,,
Business Name:Trades4Sale,Germany,info@trades4sale.de,"11
 96465"
Business Name:Fabian Buhrdorf,Germany,,322850679
Business Name:Tradia24 UG (haftungsbeschränkt),Germany,Info@Tradia24.de,6 - 29229
Business Name:tradiero GmbH,Germany,service@tradiero.de,03831-4455756
Business Name:tradingbay24 GmbH,Germany,info@tradingbay24.de,"115
40885"
Business Name:trag-das T.Rudolf e.K.,Germany,info@trag-das.de,+49 (0)8544
Business Name:Sarthro Travelbags,Other,,
Business Name:Jens Büscher,Germany,travellers.world@ewe.net,"51

48531"
Business Name:Netwark GmbH,Germany,info@trekvogel.de,04022853663
Business Name:avandu GmbH,Germany,info@trendaffe.de,"55
 71701"
,Other,,
Business Name:trendmile GmbH,Germany,support@trendmile.com,"24

68623"
Business Name:MS-Wohnstudio GbR,Germany,kundendienst@trendmoebel24.de,08671 3361
Business Name:Markus Germayer,Germany,kontakt@trendshop-online.com,08624-875775
Business Name:Trendy-Home GmbH,Germany,info@trendy-home.de,+49  02932 8968355
Business Name:ARTECH GmbH,Germany,info@artech-metalltechnik.de,250593896
Business Name:Trevendo GmbH,Germany,info@trevendo.de,0651 4360215
Business Name:Trimming Shop Group Limited,Other,,
Business Name:Triple-A-Toys GmbH,Germany,info@triple-a-toys.com,"15

92660"
Business Name:Triple K,Germany,,
Business Name:Tritschler GmbH & Cie. KG,Germany,,0711 - 222 49 32 44
VAT Number:GB338758260,Other,,
Business Name:Tropica GmbH & Co.KG,Germany,shopkontakt@tropica.de,258077256
VAT Number:DE325866695,Other,tropicalseeds1@aol.com,015170237125
Business Name:Karin Marschalk,Germany,sales@tropical-world.net,02173 977715
VAT Number:NL001653761B98,Other,info@tropictrees.nl,0031 743 490735
Business Name:Brunnenwelt Markus Tröster e.U.,Other,office@brunnenwelt.eu,0043226275090
Business Name:Trotec GmbH,Germany,info@trotec24.com,02452-962-450
Business Name:TShirt-People,Germany,info@tshirt-people.com,"58
 42349"
Business Name:Susanne Berndobler,Germany,T-Shirts-Kissen-Geschenke@gmx.de,015156949077
Business Name:TTT-Filmservice GmbH,Germany,amazon@ttt-filmservice.de,07131203920
Business Name:Tudela Trading S.L.,Other,,
Business Name:ASHTEAD RETAIL AND WHOLESALE LIMITED,Other,,
Business Name:Gerald Grillmeier,Germany,info@tuga-holztech.de,09635 924558
Business Name:Martin Bauckmeier,Germany,shop@tunnelstore.de,+49-(0)35206 397760
,Other,,
,Other,,
Business Name:AUTOCULTURE LTD,Other,,
Business Name:UNISMART STORES LTD,Other,,
Business Name:V-STAR TRADING COMPANY LIMITED,Other,,
Business Name:S. M. Subministres Montseny S.L,Other,,
"Business Name:GbR mit Stefan Fels , Marcel Rieger",Germany,amazon@vaesba.com,07824-9649871
,Other,,
,Other,,
Business Name:Valerian Design GmbH,Germany,,
Business Name:TINTIGROUP S.R.L.,Other,,
Business Name:VANADIS GmbH,Germany,info@menovus.de,0049 7176 451452
Business Name:VANER UG (haftungsbeschränkt),Germany,amazon@vaner.de,"73
 48599"
Business Name:Tamworth Camping Ltd,Germany,,
Business Name:Eschbach Europe GmbH,Germany,amazon@vaplanto.com,"21
 53604"
Business Name:Varia Volkskunsthandelsgesellschaft mbH&Co Metallk,Germany,info@varia-living.com,"17
 82064"
Business Name:VAROMORUS LLC,USA,,
Business Name:vavorit GmbH,Germany,kundenservice@vavorit.de,+49 (0)911-971 221 5-0
Business Name:VBS Hobby Service GmbH,Germany,amazon@vbs-versand.de,0423166811
Business Name:VCM Morgenthaler GmbH,Germany,amazon@vcm24.de,90 78 93 61
Business Name:VDB-Schweisstechnik Inh. Aleksander Vonderbank,Germany,amazon@vdb-schweisstechnik.com,021339747276
Business Name:BL Produkte GmbH,Germany,kontakt@vehi-mercatus.de,09921 9019842
Business Name:M. Kindler und M. Veitenhansl Metallbau GbR,Germany,,
,Other,vela07@hotmail.co.uk,01706 228590
Business Name:RICOR STYLE ARREDO S.R.L.,Other,,
Business Name:Venner Sales Ltd,Germany,,
Business Name:VRV Trade di Varveri Roberto,Other,,
Business Name:CML SOLUZIONI SRLS,Other,,
Business Name:VERGEO,Germany,,814394237
Business Name:Véritable,Other,,
Business Name:Veritrade Lukasz Zakrzewski,Other,,
Business Name:Werner Krüger,Germany,wernerkrueger2@aol.com,46  44789
Business Name:RAPIDPACK GmbH,Germany,amazon@verpacking.com,"18
 12621"
Business Name:Demir Versandhandel,Germany,info@fairmarkt24.de,"10
 74080"
Business Name:NATURA-Fachbuchhandlung Inh. Holger Mehlhardt e.K.,Germany,,12 - 14532
Business Name:Birken-Apotheke,Germany,info@fliegende-pillen.de,"235
 50679"
Business Name:Horst Theunissen GmbH,Germany,,"1-3

24119"
Business Name:Erwin Lücken,Germany,versand@erwinluecken.de,812062123
Business Name:Versandhandel-Furtwängler,Germany,info@furtwaengler.eu,"13
 74078"
Business Name:Handelsagentur Sebastian Maede,Germany,info@sushk.de,32  01139
Business Name:Swen Bierschneider,Germany,77bier@web.de,"123

45881"
Business Name:Jeannette Gonschiorek,Germany,info@versandlounge.de,04321 9659326
Business Name:Katja Richter,Germany,info@versand-richter.de,03437708376
Business Name:Autoteile Jakobs GmbH,Germany,info@lenkgetriebe.netGesch,06831-9458970
VAT Number:DE317457819,Other,simon@vershy24.eu,"176

15230"
Business Name:Vertecchi S.r.l.,Other,,
